ID,'Time and date'
a40439n,04/09/2008 18:30
a40493n,20/07/2016 08:00
a40764n,01/09/2013 11:20
a40834n,01/06/2011 21:00
a40928n,15/07/2010 19:20
a41200n,08/04/2015 20:05
a41447n,19/10/2014 09:10
a41770n,24/11/2009 09:50
a41835n,04/01/2012 09:45
a41882n,13/10/2013 12:30
a41925n,22/09/2012 13:40
a42277n,12/09/2017 21:40
a42397n,18/10/2010 11:55
a42410n,24/09/2015 13:10
a42928n,05/11/2011 12:40
a40006n,03/06/2011 21:15
a40012n,11/11/2014 02:45
a40050n,03/07/2014 17:20
a40051n,13/04/2014 16:50
a40064n,15/01/2013 08:30
a40076n,09/07/2012 06:05
a40096n,21/11/2008 12:25
a40099n,22/10/2014 22:15
a40113n,16/09/2016 09:35
a40119n,29/05/2010 19:35
a40125n,11/08/2012 16:55
a40127n,12/09/2009 09:20
a40154n,13/12/2009 04:10
a40164n,04/10/2015 12:00
a40172n,03/11/2015 02:20
a40282n,30/06/2016 20:00
a40473n,27/03/2010 21:40
a40551n,05/04/2014 13:00
a40802n,15/07/2009 19:15
a40921n,06/10/2015 09:00
a41137n,07/08/2015 22:35
a41177n,01/03/2017 22:20
a41385n,10/11/2008 20:30
a41434n,03/09/2012 16:30
a41466n,23/06/2010 04:45
a41495n,27/06/2015 22:00
a41664n,20/01/2016 18:10
a41934n,30/07/2015 23:05
a42141n,07/01/2011 15:10
a42259n,01/02/2013 00:25
a40207n,31/10/2012 06:20
a40215n,21/09/2012 23:00
a40225n,25/10/2012 14:00
a40234n,12/12/2008 23:00
a40260n,24/03/2015 09:15
a40264n,28/10/2016 21:00
a40277n,05/03/2016 05:00
a40306n,28/08/2009 09:00
a40329n,22/05/2014 18:00
a40355n,21/09/2010 13:00
a40374n,25/08/2012 06:45
a40376n,05/05/2011 01:25
a40384n,21/07/2009 14:15
a40408n,26/06/2012 15:50
a40424n,10/12/2010 18:10
